c35061,m10740
c36001,m10580
c36005,m35620
c36007,m13780
c36015,m21300
c36027,m39100
c36029,m15380
c36043,m46540
c36047,m35620
c36051,m40380
c36053,m45060
c36055,m40380
c36059,m35620
c36061,m35620
c36063,m15380
c36065,m46540
c36067,m45060
c36069,m40380
c36071,m39100
c36073,m40380
c36075,m45060
c36079,m35620
c36081,m35620
c36083,m10580
c36085,m35620
c36087,m35620
c36091,m10580
c36093,m10580
c36095,m10580
c36103,m35620
c36107,m13780
c36109,m27060
c36111,m28740
c36113,m24020
c36115,m24020
c36117,m40380
c36119,m35620
c37001,m15500
c37003,m25860
c37007,m16740
c37019,m48900
c37021,m11700
c37023,m25860
c37025,m16740
c37027,m25860
c37035,m25860
c37037,m20500
c37051,m22180
c37053,m47260
c37059,m49180
c37063,m20500
c37065,m40580
c37067,m49180
c37069,m39580
c37071,m16740
c37079,m24780
c37081,m24660
c37087,m11700
c37089,m11700
c37093,m22180
c37101,m39580
c37115,m11700
c37119,m16740
c37127,m40580
c37129,m48900
c37133,m27340
c37135,m20500
c37141,m48900
c37145,m20500
c37147,m24780
c37151,m24660
c37157,m24660
c37169,m49180
c37179,m16740
c37183,m39580
c37191,m24140
c37197,m49180
c38015,m13900
c38017,m22020
c38035,m24220
c38059,m13900
c39003,m30620
c39013,m48540
c39015,m17140
c39017,m17140
c39019,m15940
c39023,m44220
c39025,m17140
c39035,m17460
c39041,m18140
c39043,m41780
c39045,m18140
c39049,m18140
c39051,m45780
c39055,m17460
c39057,m19380
c39061,m17140
c39081,m48260
c39085,m17460
c39087,m26580
c39089,m18140
c39093,m17460
c39095,m45780
c39097,m18140
c39099,m49660
c39103,m17460
c39109,m19380
c39113,m19380
c39117,m18140
c39123,m45780
c39129,m18140
c39133,m10420
c39135,m19380
c39139,m31900
c39151,m15940
c39153,m10420
c39155,m49660
c39159,m18140
c39165,m17140
c39167,m37620
c39173,m45780
c40017,m36420
c40027,m36420
c40031,m30020
c40037,m46140
c40051,m36420
c40079,m22900
c40081,m36420
c40083,m36420
c40087,m36420
c40109,m36420
c40111,m46140
c40113,m46140
c40117,m46140
c40131,m46140
c40135,m22900
c40143,m46140
c40145,m46140
c41003,m18700
c41005,m38900
c41009,m38900
c41017,m13460
c41029,m32780
c41039,m21660
c41047,m41420
c41051,m38900
c41053,m41420
c41067,m38900
c41071,m38900
c42003,m38300
c42005,m38300
c42007,m38300
c42011,m39740
c42013,m11020
c42017,m37980
c42019,m38300
c42021,m27780
c42025,m10900
c42027,m44300
c42029,m37980
c42041,m25420
c42043,m25420
c42045,m37980
c42049,m21500
c42051,m38300
c42069,m42540
c42071,m29540
c42075,m30140
c42077,m10900
c42079,m42540
c42081,m48700
c42085,m49660
c42091,m37980
c42095,m10900
c42099,m25420
c42101,m37980
c42103,m35620
c42125,m38300
c42129,m38300
c42131,m42540
c42133,m49620
c44001,m39300
c44003,m39300
c44005,m39300
c44007,m39300
c44009,m39300
c45003,m12260
c45007,m11340
c45015,m16700
c45017,m17900
c45019,m16700
c45031,m22500
c45035,m16700
c45037,m12260
c45039,m17900
c45041,m22500
c45045,m24860
c45051,m34820
c45055,m17900
c45059,m24860
c45063,m17900
c45077,m24860
c45079,m17900
c45081,m17900
c45083,m43900
c45085,m44940
c45091,m16740
c46083,m43620
c46087,m43620
c46093,m39660
c46099,m43620
c46103,m39660
c46125,m43620
c46127,m43580
c47001,m28940
c47009,m28940
c47011,m17420
c47015,m34980
c47019,m27740
c47021,m34980
c47023,m27180
c47037,m34980
c47043,m34980
c47047,m32820
c47057,m34100
c47063,m34100
c47065,m16860
c47073,m28700
c47081,m34980
c47089,m34100
c47093,m28940
c47105,m28940
c47111,m34980
c47113,m27180
c47115,m16860
c47125,m17300
c47139,m17420
c47147,m34980
c47149,m34980
c47153,m16860
c47157,m32820
c47159,m34980
c47161,m17300
c47163,m28700
c47165,m34980
c47167,m32820
c47169,m34980
c47171,m27740
c47173,m28940
c47179,m27740
c47187,m34980
c47189,m34980
c48007,m18580
c48009,m48660
c48011,m11100
c48013,m41700
c48015,m26420
c48019,m41700
c48021,m12420
c48027,m28660
c48029,m41700
c48037,m45500
c48039,m26420
c48041,m17780
c48051,m17780
c48055,m12420
c48057,m47020
c48059,m10180
c48061,m15180
c48065,m11100
c48071,m26420
c48077,m48660
c48085,m19100
c48091,m41700
c48099,m28660
c48107,m31180
c48113,m19100
c48119,m19100
c48121,m19100
c48135,m36220
c48139,m19100
c48141,m21340
c48157,m26420
c48167,m26420
c48175,m47020
c48181,m43300
c48183,m30980
c48187,m41700
c48199,m13140
c48201,m26420
c48209,m12420
c48215,m32580
c48231,m19100
c48235,m41660
c48245,m13140
c48251,m19100
c48253,m10180
c48257,m19100
c48259,m41700
c48281,m28660
c48291,m26420
c48303,m31180
c48309,m47380
c48325,m41700
c48329,m33260
c48339,m26420
c48355,m18580
c48361,m13140
c48367,m19100
c48375,m11100
c48381,m11100
c48395,m17780
c48397,m19100
c48401,m30980
c48407,m26420
c48409,m18580
c48423,m46340
c48439,m19100
c48441,m10180
c48451,m41660
c48453,m12420
c48459,m30980
c48469,m47020
c48473,m26420
c48479,m29700
c48485,m48660
c48491,m12420
c48493,m41700
c48497,m19100
c49005,m30860
c49011,m36260
c49023,m39340
c49029,m36260
c49035,m41620
c49043,m41620
c49045,m41620
c49049,m39340
c49053,m41100
c49057,m36260
c50007,m15540
c50011,m15540
c50013,m15540
c51003,m16820
c51007,m40060
c51009,m31340
c51011,m31340
c51013,m47900
c51019,m31340
c51023,m40220
c51031,m31340
c51033,m40060
c51036,m40060
c51041,m40060
c51043,m47900
c51045,m40220
c51049,m40060
c51053,m40060
c51059,m47900
c51061,m47900
c51065,m16820
c51067,m40220
c51069,m49020
c51071,m13980
c51073,m47260
c51075,m40060
c51079,m16820
c51085,m40060
c51087,m40060
c51093,m47260
c51095,m47260
c51097,m40060
c51101,m40060
c51107,m47900
c51109,m40060
c51115,m47260
c51121,m13980
c51125,m16820
c51127,m40060
c51143,m19260
c51145,m40060
c51149,m40060
c51153,m47900
c51155,m13980
c51161,m40220
c51165,m25500
c51169,m28700
c51177,m47900
c51179,m47900
c51181,m47260
c51183,m40060
c51187,m47900
c51191,m14980
c51199,m47260
c51510,m47900
c51515,m31340
c51520,m14980
c51540,m16820
c51550,m47260
c51570,m40060
c51590,m19260
c51600,m47900
c51610,m47900
c51630,m47900
c51650,m47260
c51660,m25500
c51670,m40060
c51680,m31340
c51683,m47900
c51685,m47900
c51700,m47260
c51710,m47260
c51730,m40060
c51735,m47260
c51740,m47260
c51750,m13980
c51760,m40060
c51770,m40220
c51775,m40220
c51800,m47260
c51810,m47260
c51830,m47260
c51840,m49020
c53003,m30300
c53005,m28420
c53007,m48300
c53011,m38900
c53015,m31020
c53017,m48300
c53021,m28420
c53033,m42660
c53035,m14740
c53053,m42660
c53057,m34580
c53059,m38900
c53061,m42660
c53063,m44060
c53067,m36500
c53073,m13380
c53077,m49420
c54003,m25180
c54005,m16620
c54009,m48260
c54011,m26580
c54015,m16620
c54027,m49020
c54029,m48260
c54037,m47900
c54039,m16620
c54043,m16620
c54051,m48540
c54057,m19060
c54061,m34060
c54065,m25180
c54069,m48540
c54073,m37620
c54077,m34060
c54079,m16620
c54099,m26580
c54105,m37620
c54107,m37620
c55009,m24580
c55015,m11540
c55017,m20740
c55021,m31540
c55025,m31540
c55031,m20260
c55035,m20740
c55039,m22540
c55049,m31540
c55059,m16980
c55061,m24580
c55063,m29100
c55073,m48140
c55079,m33340
c55083,m24580
c55087,m11540
c55089,m33340
c55093,m33460
c55101,m39540
c55105,m27500
c55109,m33460
c55117,m43100
c55131,m33340
c55133,m33340
c55139,m36780
c56021,m16940
c56025,m16220
